frame,torso_cluster_id,torso_x,torso_y,torso_z,num_points_torso,is_held_from_prev,dx,dy,dz,dist_3d,is_gap,valid_torso,is_physics_ok,valid_torso_final
1,0,-2.185467206315228,0.8664187679852751,0.9237373109519919,47,0,0.0,0.0,0.0,0.0,0,1,1,1
2,0,-2.1614120334482267,0.8870414887428822,0.9660224093062272,51,0,0.024055172867001318,0.020622720757607182,0.04228509835423533,0.05283916630620618,0,1,1,1
3,0,-2.1662473181067092,0.8529334442147218,1.0221342167747482,54,0,-0.004835284658482486,-0.03410804452816041,0.05611180746852107,0.06584279472081897,0,1,1,1
4,0,-2.171874486016291,0.8612407310894775,0.9545222427413151,58,0,-0.005627167909581843,0.008307286874755682,-0.06761197403343311,0.06835243277747872,0,1,1,1
5,0,-2.1310695500836982,0.9142056752637733,0.881002338548625,45,0,0.04080493593259282,0.05296494417429576,-0.07351990419269017,0.09937557255357883,0,1,1,1
6,0,-2.163516151437994,0.9837704063350866,0.9442049502321079,31,0,-0.03244660135429589,0.06956473107131333,0.06320261168348296,0.09943140284679625,0,1,1,1
7,0,-2.1134600845590783,0.9827646449497891,0.9974209074222378,33,0,0.05005606687891584,-0.00100576138529751,0.05321595719012984,0.07306544660106022,0,1,1,1
8,0,-2.122601373894862,0.9618538998131843,0.9582736390605834,53,0,-0.009141289335783842,-0.020910745136604847,-0.039147268361654386,0.04531369608703251,0,1,1,1
9,0,-2.141041716040663,0.9468280034099975,0.8860305432450745,43,0,-0.018440342145801036,-0.015025896403186745,-0.07224309581550892,0.07605845563895121,0,1,1,1
10,0,-2.0989597268321827,1.0034754411120885,1.0146448896564626,66,0,0.0420819892084805,0.05664743770209102,0.12861434641138814,0.14670199765778072,0,1,1,1
11,0,-2.095221450889672,0.9955110825596812,0.9268497023865973,74,0,0.0037382759425108603,-0.007964358552407291,-0.08779518726986535,0.08823491724892354,0,1,1,1
12,0,-2.0347469530576237,0.9728107243127483,0.9407633840901841,39,0,0.06047449783204817,-0.02270035824693295,0.013913681703586867,0.06607618096656483,0,1,1,1
13,0,-2.0347469530576237,0.9728107243127483,0.9407633840901841,59,1,0.0,0.0,0.0,0.0,0,1,1,1
14,0,-2.0801842194491793,0.856449256996174,1.0635858466072987,61,0,-0.04543726639155565,-0.11636146731657426,0.1228224625171146,0.17518531203263416,0,1,1,1
15,0,-2.0663257573749183,1.0248099017407266,1.00028162657435,65,0,0.013858462074261002,0.1683606447445526,-0.06330422003294878,0.18040174041246157,0,1,1,1
16,0,-2.042876381351653,1.0638896071614758,0.9504251827784309,80,0,0.023449376023265245,0.03907970542074923,-0.049856443795919025,0.06754821685010387,0,1,1,1
17,0,-2.042876381351653,1.0638896071614758,0.9504251827784309,64,1,0.0,0.0,0.0,0.0,0,1,1,1
18,0,-2.044308989283367,1.0197185230201813,1.0871553664007607,56,0,-0.0014326079317137363,-0.04417108414129456,0.1367301836223298,0.1436950943946917,0,1,1,1
19,0,-1.9794104516482105,1.0464783173691328,1.2266745692380494,43,0,0.0648985376351563,0.026759794348951482,0.1395192028372887,0.15618423333080866,0,1,1,1
20,0,-2.03382289641137,0.9509171581457451,1.0932747478337943,67,0,-0.05441244476315932,-0.0955611592233877,-0.1333998214042551,0.1728819297899832,0,1,1,1
21,0,-2.030845782019831,0.9169022030122944,0.9855454319942363,57,0,0.0029771143915389153,-0.03401495513345065,-0.10772931583955803,0.11301099890758518,0,1,1,1
22,0,-2.0640311519582193,1.047027968494376,1.0436646683502013,58,0,-0.03318536993838839,0.13012576548208155,0.058119236355965054,0.1463278143581934,0,1,1,1
23,0,-2.027237610822262,0.899169979751882,0.9543053657216828,55,0,0.03679354113595723,-0.147857988742494,-0.08935930262851854,0.17663757944037284,0,1,1,1
24,1,-1.9750359205666734,1.1797306328532793,0.8589211184985037,8,0,0.05220169025558863,0.28056065310139733,-0.09538424722317906,0.3008944186131667,0,1,1,1
25,0,-1.9685759057741852,0.8890055937353893,1.0624954848414678,54,0,0.006460014792488256,-0.29072503911788994,0.2035743663429641,0.35497225637105384,0,1,1,1
26,0,-1.9496880156379717,0.9321579931273415,1.105756256309281,48,0,0.018887890136213503,0.043152399391952145,0.043260771467813264,0.06395604987075569,0,1,1,1
27,0,-1.951400306562069,0.9490991343558219,1.0674061054687083,55,0,-0.001712290924097415,0.01694114122848045,-0.038350150840572805,0.04196031787089742,0,1,1,1
28,0,-1.9035405876222602,1.0050085160830555,1.14841569879128,57,0,0.04785971893980889,0.05590938172723359,0.08100959332257163,0.10944846217470332,0,1,1,1
29,0,-1.9004227538207619,0.8968652265151622,1.0365465914619094,48,0,0.0031178338014983265,-0.10814328956789332,-0.1118691073293705,0.1556257984424472,0,1,1,1
30,0,-1.960200275764557,1.0623486839711689,0.9416291703400247,18,0,-0.05977752194379504,0.16548345745600668,-0.09491742112188473,0.19991859256648462,0,1,1,1
31,0,-1.8877525426880246,0.903876730980671,1.0230922354938299,81,0,0.0724477330765323,-0.15847195299049788,0.08146306515380519,0.19234933037784183,0,1,1,1
32,0,-1.7693948328329305,0.9988454396903023,1.2804327652075644,22,0,0.11835770985509408,0.09496870870963126,0.25734052971373456,0.29875031606587954,0,1,1,1
33,0,-1.7755747968071431,0.8171780758266305,1.1627213670924659,45,0,-0.00617996397421261,-0.18166736386367177,-0.11771139811509856,0.21655760502487442,0,1,1,1
34,0,-1.7371331295615828,0.8499083431119736,1.0695509404629575,40,0,0.03844166724556031,0.03273026728534312,-0.09317042662950836,0.1059705646654437,0,1,1,1
35,0,-1.703110856102875,0.9133341221042034,1.1713718764293044,32,0,0.0340222734587079,0.06342577899222979,0.10182093596634689,0.12469100822887427,0,1,1,1
36,0,-1.691384320200187,0.8612455653312416,1.1235294335014028,40,0,0.011726535902687907,-0.05208855677296176,-0.04784244292790163,0.07169120403701289,0,1,1,1
37,0,-1.6666179443861553,0.9115156688172847,1.1390773313227383,37,0,0.024766375814031738,0.050270103486043105,0.015547897821335477,0.058156631626341874,0,1,1,1
