frame,torso_cluster_id,torso_x,torso_y,torso_z,num_points_torso,is_held_from_prev,dx,dy,dz,dist_3d,is_gap,valid_torso,is_physics_ok,valid_torso_final
1,0,-1.7443507522683837,1.627872345466512,2.5996145369403134,3,0,0.0,0.0,0.0,0.0,0,1,1,1
2,0,-1.7443507522683837,1.627872345466512,2.5996145369403134,0,1,0.0,0.0,0.0,0.0,0,1,1,1
3,0,-1.7443507522683837,1.627872345466512,2.5996145369403134,0,1,0.0,0.0,0.0,0.0,0,1,1,1
4,0,-0.4838497316592312,2.419364823313181,2.1970763592502536,3,0,1.2605010206091525,0.791492477846669,-0.40253817769005984,1.5418690443557808,0,1,0,0
5,0,-0.4838497316592312,2.419364823313181,2.1970763592502536,0,1,0.0,0.0,0.0,0.0,0,1,1,1
6,0,-0.4838497316592312,2.419364823313181,2.1970763592502536,2,1,0.0,0.0,0.0,0.0,0,1,1,1
7,0,-0.4719439155658356,1.594869751431998,2.001137167318716,4,0,0.011905816093395583,-0.824495071881183,-0.19593919193153742,0.8475411724205443,0,1,1,1
8,0,-0.4719439155658356,1.594869751431998,2.001137167318716,3,1,0.0,0.0,0.0,0.0,0,1,1,1
9,0,-0.4719439155658356,1.594869751431998,2.001137167318716,3,1,0.0,0.0,0.0,0.0,0,1,1,1
10,-1,,,,0,0,0.0,0.0,0.0,0.0,1,0,1,0
11,0,1.9752039905800085,1.4620169965526424,1.6698723492405054,3,0,0.0,0.0,0.0,0.0,0,1,1,1
12,0,1.9752039905800085,1.4620169965526424,1.6698723492405054,4,1,0.0,0.0,0.0,0.0,0,1,1,1
13,0,1.9752039905800085,1.4620169965526424,1.6698723492405054,4,1,0.0,0.0,0.0,0.0,0,1,1,1
14,-1,,,,0,0,0.0,0.0,0.0,0.0,1,0,1,0
15,0,0.006915183694759797,0.2343738632401942,2.023285629277702,2,0,0.0,0.0,0.0,0.0,0,1,1,1
16,0,0.006915183694759797,0.2343738632401942,2.023285629277702,3,1,0.0,0.0,0.0,0.0,0,1,1,1
17,0,-0.059750760647708456,0.0901931398024691,1.956342985189449,2,0,-0.06666594434246825,-0.14418072343772512,-0.06694264408825301,0.172376758130629,0,1,1,1
18,0,-0.059750760647708456,0.0901931398024691,1.956342985189449,0,1,0.0,0.0,0.0,0.0,0,1,1,1
19,0,-0.06240023010744197,0.14157304452658973,1.8884268658125787,3,0,-0.0026494694597335167,0.05137990472412063,-0.06791611937687025,0.08520277911600692,0,1,1,1
20,0,-0.06240023010744197,0.14157304452658973,1.8884268658125787,0,1,0.0,0.0,0.0,0.0,0,1,1,1
21,0,-0.06240023010744197,0.14157304452658973,1.8884268658125787,4,1,0.0,0.0,0.0,0.0,0,1,1,1
22,0,2.0129890642744743,2.77630096102955,2.359059004640093,3,0,2.075389294381916,2.6347279165029605,0.4706321388275143,3.386816577160986,0,1,0,0
23,0,2.0129890642744743,2.77630096102955,2.359059004640093,1,1,0.0,0.0,0.0,0.0,0,1,1,1
24,0,2.0129890642744743,2.77630096102955,2.359059004640093,2,1,0.0,0.0,0.0,0.0,0,1,1,1
25,-1,,,,0,0,0.0,0.0,0.0,0.0,1,0,1,0
26,0,-1.020690516254559,3.1505199847491454,0.7822492966656455,3,0,0.0,0.0,0.0,0.0,0,1,1,1
27,0,-1.020690516254559,3.1505199847491454,0.7822492966656455,2,1,0.0,0.0,0.0,0.0,0,1,1,1
28,0,-1.020690516254559,3.1505199847491454,0.7822492966656455,0,1,0.0,0.0,0.0,0.0,0,1,1,1
29,-1,,,,0,0,0.0,0.0,0.0,0.0,1,0,1,0
30,0,-1.0809420268744214,3.222016815617634,1.6540137632538217,4,0,0.0,0.0,0.0,0.0,0,1,1,1
31,0,-1.0809420268744214,3.222016815617634,1.6540137632538217,0,1,0.0,0.0,0.0,0.0,0,1,1,1
32,0,-1.0809420268744214,3.222016815617634,1.6540137632538217,0,1,0.0,0.0,0.0,0.0,0,1,1,1
33,0,-0.16671041079485882,0.50159439935396,-1.5845831964358879,2,0,0.9142316160795626,-2.720422416263674,-3.2385969596897093,4.327242521290061,0,1,0,0
34,0,-0.16671041079485882,0.50159439935396,-1.5845831964358879,0,1,0.0,0.0,0.0,0.0,0,1,1,1
35,0,-0.16671041079485882,0.50159439935396,-1.5845831964358879,0,1,0.0,0.0,0.0,0.0,0,1,1,1
36,-1,,,,0,0,0.0,0.0,0.0,0.0,1,0,1,0
37,0,-0.5083144717381417,1.949738080135915,2.696616898997762,3,0,0.0,0.0,0.0,0.0,0,1,1,1
38,0,-0.5083144717381417,1.949738080135915,2.696616898997762,7,1,0.0,0.0,0.0,0.0,0,1,1,1
39,0,-0.5083144717381417,1.949738080135915,2.696616898997762,22,1,0.0,0.0,0.0,0.0,0,1,1,1
40,0,0.5864983545917876,0.14020513256370262,1.5779807918568096,24,0,1.0948128263299293,-1.8095329475722124,-1.1186361071409525,2.3925658513916335,0,1,0,0
41,0,0.5864983545917876,0.14020513256370262,1.5779807918568096,31,1,0.0,0.0,0.0,0.0,0,1,1,1
42,0,0.5864983545917876,0.14020513256370262,1.5779807918568096,5,1,0.0,0.0,0.0,0.0,0,1,1,1
43,1,-0.6644687104479646,0.20987655109052278,1.6360666837242546,39,0,-1.2509670650397522,0.06967141852682016,0.05808589186744495,1.2542514401856382,0,1,0,0
44,0,-0.686532063901988,0.23988949033204343,1.6409566609909252,54,0,-0.022063353454023327,0.030012939241520653,0.00488997726667062,0.03756966815425615,0,1,1,1
45,0,-0.6847252591967241,0.31242597751884277,1.5952489808509414,39,0,0.0018068047052638425,0.07253648718679934,-0.04570768013998383,0.08575545778796088,0,1,1,1
46,0,-0.7003241984508713,0.2825345236756904,1.664327688676572,50,0,-0.015598939254147237,-0.029891453843152394,0.06907870782563075,0.07686802842255513,0,1,1,1
47,0,-0.6658072921447077,0.3479409927037672,1.5435676242296712,85,0,0.034516906306163664,0.06540646902807684,-0.1207600644469009,0.14160655414524045,0,1,1,1
48,0,-0.6722916030629351,0.36244236265652213,1.5823358375235559,43,0,-0.006484310918227432,0.014501369952754917,0.03876821329388469,0.041896424436830455,0,1,1,1
49,0,-0.7532977295058365,0.3892884192802281,1.6226941788367995,51,0,-0.0810061264429014,0.026846056623705983,0.04035834131324356,0.09440073617871218,0,1,1,1
50,0,-0.813281990260759,0.482752884980141,1.6534729412386566,48,0,-0.05998426075492247,0.0934644656999129,0.030778762401857174,0.11524343843306092,0,1,1,1
51,0,-0.8419426862690381,0.47848018837258266,1.706019673682364,60,0,-0.02866069600827914,-0.004272696607558357,0.052546732443707445,0.06000708726883688,0,1,1,1
52,0,-0.8098672173650567,0.5501126805990131,1.6818534830470995,46,0,0.032075468903981386,0.07163249222643042,-0.024166190635264595,0.08212219199339385,0,1,1,1
53,0,-0.8548692952967838,0.5860243159638491,1.7893367914518683,58,0,-0.04500207793172706,0.03591163536483599,0.10748330840476883,0.12193233434321195,0,1,1,1
54,0,-0.9089855366387304,0.6129747440848136,1.7472793784354606,69,0,-0.05411624134194659,0.026950428120964487,-0.04205741301640775,0.0736459037728222,0,1,1,1
55,0,-0.8342633584672234,0.6530227315985713,1.5460110794201942,75,0,0.07472217817150695,0.04004798751375771,-0.20126829901526633,0.21839453611089993,0,1,1,1
56,0,-0.8342633584672234,0.6530227315985713,1.5460110794201942,42,1,0.0,0.0,0.0,0.0,0,1,1,1
57,0,-0.980495897207319,0.6826105701091817,1.6520383459284085,30,0,-0.14623253874009556,0.02958783851061042,0.10602726650821426,0.18303326696889669,0,1,1,1
58,0,-1.0147879433135956,0.6952689293057897,1.686207947926224,43,0,-0.034292046106276564,0.01265835919660796,0.03416960199781549,0.05003738786541983,0,1,1,1
59,0,-0.9848638496530551,0.7696974017360012,1.621671505139712,64,0,0.029924093660540496,0.07442847243021156,-0.06453644278651205,0.10295630790406339,0,1,1,1
60,1,-0.8261299717963929,1.0140492853248506,1.631832924879799,6,0,0.15873387785666215,0.2443518835888494,0.010161419740086997,0.2915605279251061,0,1,1,1
61,0,-1.0625064277523248,0.8729486357407799,1.7788107375611806,38,0,-0.23637645595593193,-0.14110064958407076,0.14697781268138166,0.3120668192293706,0,1,1,1
62,0,-0.9711026289743826,0.9799904818695823,1.6313732906048892,69,0,0.09140379877794225,0.10704184612880241,-0.14743744695629135,0.2038391817553485,0,1,1,1
63,1,-0.8466998822818086,1.0960721539600624,1.4730132578190087,64,0,0.124402746692574,0.11608167209048015,-0.1583600327858805,0.23244117097434275,0,1,1,1
64,1,-0.8169373716089209,1.1885507772273647,1.531989816373453,9,0,0.02976251067288771,0.09247862326730227,0.05897655855444439,0.1136500649445269,0,1,1,1
65,1,-0.8169373716089209,1.1885507772273647,1.531989816373453,20,1,0.0,0.0,0.0,0.0,0,1,1,1
66,1,-0.925580380447141,1.2517102893145475,1.5893793326025127,57,0,-0.10864300883822009,0.06315951208718285,0.057389516229059634,0.13815203186894526,0,1,1,1
67,1,-0.9038912733781389,1.2947658791356844,1.5759672780521659,40,0,0.021689107069002067,0.043055589821136886,-0.013412054550346886,0.05004082720697273,0,1,1,1
68,1,-1.023151953952735,1.3186177067136533,1.6636580885691041,43,0,-0.11926068057459605,0.023851827577968887,0.08769081051693828,0.14993898045219115,0,1,1,1
69,1,-0.976812808180827,1.386636004596174,1.6172300251328102,47,0,0.0463391457719079,0.06801829788252078,-0.04642806343629391,0.09449534566395316,0,1,1,1
70,0,-0.9717150143900083,1.3924270117810151,1.5770864928155057,26,0,0.005097793790818761,0.005791007184841046,-0.0401435323173045,0.04087819042789274,0,1,1,1
71,0,-0.9232182720128772,1.4690768352507486,1.5080489944058442,23,0,0.048496742377131086,0.07664982346973348,-0.06903749840966156,0.11398818204445209,0,1,1,1
72,0,-0.918484079242652,1.4920392026163336,1.456870958840083,31,0,0.004734192770225243,0.02296236736558499,-0.05117803556576117,0.05629275460117448,0,1,1,1
73,0,-0.9171734851911528,1.5760925348902002,1.4827463113537096,5,0,0.0013105940514991365,0.08405333227386658,0.025875352513626604,0.08795575132311297,0,1,1,1
74,0,-0.9536657518923685,1.600656991600537,1.4956888778209785,52,0,-0.03649226670121564,0.024564456710336913,0.012942566467268879,0.045854204706071836,0,1,1,1
75,0,-0.9858986185626721,1.6304746347802628,1.5463129342006383,35,0,-0.03223286667030367,0.029817643179725684,0.05062405637965983,0.06701376442873502,0,1,1,1
76,0,-0.9610806631089689,1.672278515839999,1.4637903409021524,27,0,0.024817955453703244,0.041803881059736314,-0.08252259329848588,0.09577825321682311,0,1,1,1
77,0,-0.9925464042308381,1.7071518989912315,1.2579363865850735,32,0,-0.03146574112186917,0.03487338315123245,-0.20585395431707898,0.2111447281481098,0,1,1,1
78,0,-1.0457238616518858,1.7482040735989242,1.4745366634240245,47,0,-0.053177457421047736,0.041052174607692615,0.216600276838951,0.2267791942496005,0,1,1,1
79,0,-1.0457238616518858,1.7482040735989242,1.4745366634240245,0,1,0.0,0.0,0.0,0.0,0,1,1,1
80,0,-1.0888596943686724,1.8666025204786,1.427814146215256,37,0,-0.04313583271678656,0.11839844687967593,-0.04672251720876841,0.13439451589262746,0,1,1,1
81,0,-1.1004632323450696,1.9025219509269162,1.4127103462371817,51,0,-0.011603537976397238,0.035919430448316136,-0.015103799978074317,0.040656762673370726,0,1,1,1
82,0,-1.1234435143856882,1.8597494660952612,1.469094591383943,22,0,-0.022980282040618638,-0.04277248483165508,0.056384245146761325,0.07440942092309698,0,1,1,1
83,0,-1.174188240380596,1.902880941038283,1.5068884786930303,13,0,-0.05074472599490787,0.04313147494302183,0.03779388730908728,0.0765749911197565,0,1,1,1
84,0,-1.174238339713038,1.9572491008726864,1.3697274894815405,6,0,-5.009933244193299e-05,0.05436815983440346,-0.13716098921148978,0.1475433369393439,0,1,1,1
85,0,-1.0906662868567425,1.9573771440284962,1.3881005641042508,30,0,0.08357205285629554,0.0001280431558097206,0.018373074622710206,0.08556795127123755,0,1,1,1
86,0,-1.2192668601009828,2.014712492628316,1.5158800650663278,53,0,-0.12860057324424035,0.057335348599820035,0.12777950096207702,0.19013955533746144,0,1,1,1
87,0,-1.098122273069404,2.0547604296965574,1.3666096514753368,13,0,0.12114458703157882,0.04004793706824117,-0.14927041359099102,0.1963708344029202,0,1,1,1
88,0,-1.2001760431439592,2.0659147740860413,1.4914687653288956,21,0,-0.10205377007455518,0.011154344389483928,0.12485911385355886,0.161645258815362,0,1,1,1
89,0,-1.223902918295524,2.1212799633983974,1.3772114145239165,5,0,-0.023726875151564686,0.05536518931235612,-0.11425735080497912,0.12916273071216416,0,1,1,1
90,0,-1.223902918295524,2.1212799633983974,1.3772114145239165,0,1,0.0,0.0,0.0,0.0,0,1,1,1
91,0,-1.223902918295524,2.1212799633983974,1.3772114145239165,0,1,0.0,0.0,0.0,0.0,0,1,1,1
92,0,-1.2089254292961737,2.2386360250743653,1.5106846417451092,27,0,0.014977488999350141,0.1173560616759679,0.1334732272211927,0.17835883149891787,0,1,1,1
93,0,-1.20826756793401,2.259449434231757,1.4454867002402516,6,0,0.0006578613621637253,0.020813409157391494,-0.06519794150485758,0.06844269397675436,0,1,1,1
94,0,-1.1644859774752065,2.3001999884058346,1.462596267687762,18,0,0.04378159045880348,0.0407505541740778,0.017109567447510354,0.06221071151206798,0,1,1,1
95,0,-1.2550976761285484,2.294784083148744,1.552848426711025,5,0,-0.09061169865334184,-0.005415905257090792,0.090252159023263,0.12800493807255314,0,1,1,1
96,0,-1.2550976761285484,2.294784083148744,1.552848426711025,15,1,0.0,0.0,0.0,0.0,0,1,1,1
97,0,-1.266580343486978,2.389585729968245,1.5188573976714792,6,0,-0.011482667358429621,0.09480164681950098,-0.03399102903954576,0.10136367171980792,0,1,1,1
98,0,-1.312099401339497,2.379142423570886,1.4161426911799493,5,0,-0.045519057852519085,-0.01044330639735902,-0.10271470649152992,0.11283332045956654,0,1,1,1
99,0,-1.340124304964918,2.339488628385236,1.369555643068883,17,0,-0.028024903625420983,-0.03965379518564971,-0.046587048111066176,0.06729169151940219,0,1,1,1
100,0,-1.2798744406606728,2.4094015096612718,1.4409249461912532,15,0,0.06024986430424528,0.06991288127603568,0.07136930312237011,0.1166680528043979,0,1,1,1
101,0,-1.274421686077299,2.4237443723320977,1.432775653174976,42,0,0.005452754583373798,0.014342862670825962,-0.008149293016277204,0.017374153757976855,0,1,1,1
102,0,-1.274421686077299,2.4237443723320977,1.432775653174976,58,1,0.0,0.0,0.0,0.0,0,1,1,1
103,0,-1.3063875693381353,2.5988276245762885,1.2253484602207234,70,0,-0.03196588326083627,0.17508325224419075,-0.2074271929542526,0.27331667216971794,0,1,1,1
104,0,-1.3063875693381353,2.5988276245762885,1.2253484602207234,6,1,0.0,0.0,0.0,0.0,0,1,1,1
105,0,-1.4064451930000843,2.4715750734727213,1.4070704562936924,5,0,-0.10005762366194904,-0.12725255110356715,0.18172199607296902,0.2433672608877093,0,1,1,1
106,0,-1.3316224710692655,2.4119726409690245,1.293636732643321,5,0,0.07482272193081885,-0.05960243250369679,-0.11343372365037152,0.14838497005654996,0,1,1,1
107,0,-1.3864933255924896,2.4452093227972336,1.2598355261209468,9,0,-0.054870854523224155,0.03323668182820905,-0.03380120652237406,0.07251213179480116,0,1,1,1
108,0,-1.3864933255924896,2.4452093227972336,1.2598355261209468,0,1,0.0,0.0,0.0,0.0,0,1,1,1
109,0,-1.3518249248712595,2.5155049992542207,1.3052558044650537,6,0,0.03466840072123012,0.07029567645698709,0.04542027834410689,0.09058908224487841,0,1,1,1
110,0,-1.4555584060803284,2.5596257378737994,1.6127192695971335,6,0,-0.10373348120906889,0.04412073861957877,0.3074634651320798,0.32747680389779527,0,1,1,1
111,0,-1.4555584060803284,2.5596257378737994,1.6127192695971335,0,1,0.0,0.0,0.0,0.0,0,1,1,1
112,0,-1.2745673641098252,2.4406297483481874,1.3336655411690785,18,0,0.1809910419705032,-0.11899598952561208,-0.279053728428055,0.3532545628103715,0,1,1,1
113,0,-1.3158554479229445,2.5314331926304257,1.4517926887087698,5,0,-0.041288083813119325,0.0908034442822383,0.11812714753969122,0.1546091664305215,0,1,1,1
114,0,-1.3158554479229445,2.5314331926304257,1.4517926887087698,9,1,0.0,0.0,0.0,0.0,0,1,1,1
