trial,step_id,frame_start,frame_end,T_step,T_step_unit,L_step_m,v_walk_step
Afi_Jalan46_clustered_torso,1,4,14,10.0,frames,0.499702723595196,
Afi_Jalan46_clustered_torso,2,14,25,11.0,frames,0.6360320607059298,
Afi_Jalan46_clustered_torso,3,25,32,7.0,frames,0.5609107976902598,
Afi_Jalan46_clustered_torso,4,32,46,14.0,frames,0.5255304449919086,
Afi_Jalan46_clustered_torso,5,46,52,6.0,frames,0.39660740224856345,
Afi_Jalan46_clustered_torso,6,52,62,10.0,frames,0.2048169183873333,
Afi_Jalan46_clustered_torso,7,62,71,9.0,frames,0.6119999339234032,
Afi_Jalan46_clustered_torso,8,71,79,8.0,frames,0.4846844338696859,
Afi_Jalan46_clustered_torso,9,79,90,11.0,frames,0.5970646125640807,
Afi_Jalan46_clustered_torso,10,90,104,14.0,frames,0.5120772010828049,
Afi_Jalan46_clustered_torso,11,104,114,10.0,frames,0.48658976400295634,
Afi_Jalan46_clustered_torso,12,114,126,12.0,frames,0.3858012301238385,
Afi_Jalan46_clustered_torso,13,126,133,7.0,frames,0.345408291501875,
Afi_Jalan46_clustered_torso,14,133,139,6.0,frames,0.20085261589816117,
