trial,step_id,frame_start,frame_end,T_step,T_step_unit,L_step_m,v_walk_step
Kinan_Jalan57_clustered_torso,1,5,15,10.0,frames,0.3233552326362058,
Kinan_Jalan57_clustered_torso,2,15,23,8.0,frames,0.12622292953358788,
Kinan_Jalan57_clustered_torso,3,23,33,10.0,frames,0.2225310843972527,
Kinan_Jalan57_clustered_torso,4,33,38,5.0,frames,0.19377905605746484,
Kinan_Jalan57_clustered_torso,5,38,47,9.0,frames,0.466245217147844,
Kinan_Jalan57_clustered_torso,6,47,58,11.0,frames,0.4981866245473048,
Kinan_Jalan57_clustered_torso,7,58,67,9.0,frames,0.4496875841167402,
Kinan_Jalan57_clustered_torso,8,67,72,5.0,frames,0.23620849175989417,
Kinan_Jalan57_clustered_torso,9,72,78,6.0,frames,0.364573663223945,
Kinan_Jalan57_clustered_torso,10,78,84,6.0,frames,0.3432672973157101,
Kinan_Jalan57_clustered_torso,11,84,90,6.0,frames,0.1736223732506748,
Kinan_Jalan57_clustered_torso,12,90,97,7.0,frames,0.29967144025068604,
Kinan_Jalan57_clustered_torso,13,97,102,5.0,frames,0.40372806109910336,
Kinan_Jalan57_clustered_torso,14,102,107,5.0,frames,0.23513451287762335,
Kinan_Jalan57_clustered_torso,15,107,113,6.0,frames,0.3115442026277425,
Kinan_Jalan57_clustered_torso,16,113,120,7.0,frames,0.32724169403751113,
Kinan_Jalan57_clustered_torso,17,120,126,6.0,frames,0.4342233304107087,
Kinan_Jalan57_clustered_torso,18,126,134,8.0,frames,0.3310780924226078,
Kinan_Jalan57_clustered_torso,19,134,147,13.0,frames,0.7269388335016471,
Kinan_Jalan57_clustered_torso,20,147,153,6.0,frames,0.22627151727143494,
Kinan_Jalan57_clustered_torso,21,153,160,7.0,frames,0.26352672544317435,
